Date,Week,Day,Topic
1/15/2026,1,Thursday,"Introductions, expectations, install software"
1/20/2026,2,Tuesday,Computing basics for data science; setup GitHub
1/22/2026,2,Thursday,Literate programming
1/27/2026,3,Tuesday,Data Visualization: What and Why
1/29/2026,3,Thursday,Graphics Formats
2/3/2026,4,Thursday,Data Abstraction
2/5/2026,4,Tuesday,Data Wrangling in R
2/10/2026,5,Thursday,No class -- Brian at Montana State
2/12/2026,5,Tuesday,
2/17/2026,6,Thursday,Marks and Channels
2/19/2026,6,Thursday,ggplot2 in R
2/24/2026,7,Tuesday,Tabular Data
2/26/2026,7,Thursday,
3/3/2026,8,Tuesday,Manipulating Views
3/5/2026,8,Thursday,
3/10/2026,9,Thursday,Mid-term Project Presentations
3/12/2026,9,Tuesday,
3/17/2026,10,Thursday,Spring break
3/19/2026,10,Tuesday,
3/24/2026,11,Thursday,Reducing Items and Attributes
3/26/2026,11,Thursday,
3/31/2026,12,Tuesday,Animation
4/2/2026,12,Thursday,
4/7/2026,13,Tuesday,Spatial Data Review
4/9/2026,13,Thursday,Spatial Data in R
4/14/2026,14,Thursday,Network Data Review
4/16/2026,14,Tuesday,Network Data in R
4/21/2026,15,Thursday,Embedding
4/23/2026,15,Tuesday,
4/28/2026,16,Thursday,Miscellaneous (buffer week)
4/30/2026,16,Thursday,
5/5/2026,17,Tuesday,Final Project Presentations
5/7/2026,17,Thursday,
